,TOTAL POP,WHITE POP,BLACK POP,NOT HISPANIC POP,TOTAL HISPANIC POP,NOT HISPANIC WHITE,NAME,STATE,COUNTY,GEO_TRACT
187,2969,1994,523,2706,263,1823,"Census Tract 147, Milwaukee County, Wisconsin",55,079,014700
188,3116,929,308,798,2318,446,"Census Tract 157, Milwaukee County, Wisconsin",55,079,015700
189,2564,733,306,707,1857,341,"Census Tract 158, Milwaukee County, Wisconsin",55,079,015800
190,3235,1553,523,1049,2186,323,"Census Tract 167, Milwaukee County, Wisconsin",55,079,016700
191,3499,1065,478,717,2782,238,"Census Tract 168, Milwaukee County, Wisconsin",55,079,016800
192,3461,2446,159,1154,2307,772,"Census Tract 187, Milwaukee County, Wisconsin",55,079,018700
193,3213,2689,109,2596,617,2111,"Census Tract 193, Milwaukee County, Wisconsin",55,079,019300
194,5174,4793,23,4389,785,4209,"Census Tract 197, Milwaukee County, Wisconsin",55,079,019700
195,4028,3339,25,2213,1815,1863,"Census Tract 203, Milwaukee County, Wisconsin",55,079,020300
196,5608,3767,1251,5390,218,3619,"Census Tract 501.01, Milwaukee County, Wisconsin",55,079,050101
197,2700,2337,155,2617,83,2283,"Census Tract 801, Milwaukee County, Wisconsin",55,079,080100
198,2531,2129,180,2200,331,1935,"Census Tract 1804, Milwaukee County, Wisconsin",55,079,180400
199,4096,3458,121,3356,740,3029,"Census Tract 194, Milwaukee County, Wisconsin",55,079,019400
200,3448,2012,408,2203,1245,1335,"Census Tract 200, Milwaukee County, Wisconsin",55,079,020000
201,6581,5742,123,5503,1078,4834,"Census Tract 217, Milwaukee County, Wisconsin",55,079,021700
202,2634,2378,118,2337,297,2155,"Census Tract 1701, Milwaukee County, Wisconsin",55,079,170100
203,1848,467,1194,1707,141,403,"Census Tract 135, Milwaukee County, Wisconsin",55,079,013500
204,3561,2116,120,904,2657,716,"Census Tract 161, Milwaukee County, Wisconsin",55,079,016100
205,5492,2591,393,2051,3441,1437,"Census Tract 170, Milwaukee County, Wisconsin",55,079,017000
206,4404,2576,63,986,3418,825,"Census Tract 173, Milwaukee County, Wisconsin",55,079,017300
207,2745,1281,254,717,2028,341,"Census Tract 176, Milwaukee County, Wisconsin",55,079,017600
208,3014,2386,132,2549,465,2191,"Census Tract 179, Milwaukee County, Wisconsin",55,079,017900
209,1745,1666,9,1653,92,1574,"Census Tract 181, Milwaukee County, Wisconsin",55,079,018100
210,3923,2843,379,2514,1409,2031,"Census Tract 191, Milwaukee County, Wisconsin",55,079,019100
211,3356,636,2339,3147,209,626,"Census Tract 9, Milwaukee County, Wisconsin",55,079,000900
212,2675,921,1584,2497,178,791,"Census Tract 4, Milwaukee County, Wisconsin",55,079,000400
213,3861,1540,1848,3552,309,1483,"Census Tract 5.01, Milwaukee County, Wisconsin",55,079,000501
214,2746,125,2424,2625,121,125,"Census Tract 41, Milwaukee County, Wisconsin",55,079,004100
215,2118,19,1912,1961,157,19,"Census Tract 45, Milwaukee County, Wisconsin",55,079,004500
216,3677,2704,656,3539,138,2641,"Census Tract 54, Milwaukee County, Wisconsin",55,079,005400
217,6675,5461,435,5826,849,4882,"Census Tract 1204, Milwaukee County, Wisconsin",55,079,120400
218,2260,1905,95,2129,131,1840,"Census Tract 56, Milwaukee County, Wisconsin",55,079,005600
219,2579,2017,485,2416,163,1881,"Census Tract 57, Milwaukee County, Wisconsin",55,079,005700
