,MEDIAN INCOME,TOTAL POP FOR POV RATES,TOTAL POP INCOME BELOW POV RATE,WHITE POP INCOME BELOW POV RATE,BLACK POP INCOME BELOW POV RATE,POP BELOW .50 INCOME POV RATIO,POP .50-.99 INCOME POV RATIO,POP 1.00-1.24 INCOME POV RATIO,NAME,STATE,COUNTY,GEO_TRACT
46,28980,5561,2199,229,1740,1263,936,787,"Census Tract 2.01, Milwaukee County, Wisconsin",55,079,000201
47,55227,1884,282,109,107,91,191,21,"Census Tract 3.03, Milwaukee County, Wisconsin",55,079,000303
48,45926,4557,1002,51,656,172,830,264,"Census Tract 30, Milwaukee County, Wisconsin",55,079,003000
49,32109,2868,679,23,603,441,238,69,"Census Tract 39, Milwaukee County, Wisconsin",55,079,003900
50,43599,4858,1066,81,751,322,744,235,"Census Tract 17, Milwaukee County, Wisconsin",55,079,001700
51,32823,2495,647,12,573,241,406,210,"Census Tract 20, Milwaukee County, Wisconsin",55,079,002000
52,32397,1906,611,63,523,103,508,107,"Census Tract 22, Milwaukee County, Wisconsin",55,079,002200
53,27604,2670,830,28,668,303,527,149,"Census Tract 40, Milwaukee County, Wisconsin",55,079,004000
54,25331,3672,1407,0,1363,597,810,605,"Census Tract 42, Milwaukee County, Wisconsin",55,079,004200
55,44375,1631,113,24,73,60,53,126,"Census Tract 52, Milwaukee County, Wisconsin",55,079,005200
56,53141,3876,363,224,125,238,125,271,"Census Tract 199, Milwaukee County, Wisconsin",55,079,019900
57,23719,3460,1504,450,300,646,858,409,"Census Tract 159, Milwaukee County, Wisconsin",55,079,015900
58,69071,3444,353,243,2,232,121,247,"Census Tract 195, Milwaukee County, Wisconsin",55,079,019500
59,52378,5690,649,419,200,212,437,351,"Census Tract 198, Milwaukee County, Wisconsin",55,079,019800
60,58589,3706,212,166,0,67,145,55,"Census Tract 206, Milwaukee County, Wisconsin",55,079,020600
61,64097,2158,242,184,0,90,152,70,"Census Tract 210, Milwaukee County, Wisconsin",55,079,021000
62,116932,4312,186,186,0,140,46,100,"Census Tract 701, Milwaukee County, Wisconsin",55,079,070100
63,57039,1934,408,360,32,46,362,112,"Census Tract 189, Milwaukee County, Wisconsin",55,079,018900
64,46005,3514,803,328,96,283,520,355,"Census Tract 204, Milwaukee County, Wisconsin",55,079,020400
65,37946,2938,767,500,1,306,461,269,"Census Tract 205, Milwaukee County, Wisconsin",55,079,020500
66,160417,1473,33,33,0,27,6,8,"Census Tract 401, Milwaukee County, Wisconsin",55,079,040100
67,44938,2257,354,211,32,146,208,77,"Census Tract 212, Milwaukee County, Wisconsin",55,079,021200
68,26477,3442,1171,630,140,432,739,324,"Census Tract 214, Milwaukee County, Wisconsin",55,079,021400
69,97449,4445,226,111,23,192,34,91,"Census Tract 301, Milwaukee County, Wisconsin",55,079,030100
70,51472,6431,1015,379,381,464,551,182,"Census Tract 501.02, Milwaukee County, Wisconsin",55,079,050102
71,67275,5591,413,249,97,144,269,42,"Census Tract 602, Milwaukee County, Wisconsin",55,079,060200
72,69464,3598,369,330,39,184,185,50,"Census Tract 802, Milwaukee County, Wisconsin",55,079,080200
73,142644,3765,295,253,0,191,104,26,"Census Tract 803, Milwaukee County, Wisconsin",55,079,080300
74,106875,2345,132,109,23,35,97,15,"Census Tract 908, Milwaukee County, Wisconsin",55,079,090800
75,57646,5116,800,591,63,372,428,136,"Census Tract 912, Milwaukee County, Wisconsin",55,079,091200
76,44954,5167,944,456,145,255,689,275,"Census Tract 1802, Milwaukee County, Wisconsin",55,079,180200
77,50136,2924,169,159,1,74,95,21,"Census Tract 1012, Milwaukee County, Wisconsin",55,079,101200
78,66918,4343,450,362,0,165,285,300,"Census Tract 1205.01, Milwaukee County, Wisconsin",55,079,120501
79,77557,2846,125,96,0,103,22,22,"Census Tract 1302, Milwaukee County, Wisconsin",55,079,130200
80,39222,4873,1507,67,1362,520,987,322,"Census Tract 5.02, Milwaukee County, Wisconsin",55,079,000502
81,32645,4376,1427,129,1220,920,507,159,"Census Tract 1.01, Milwaukee County, Wisconsin",55,079,000101
82,87983,3098,120,69,43,50,70,19,"Census Tract 601.02, Milwaukee County, Wisconsin",55,079,060102
83,40455,3374,742,105,432,353,389,63,"Census Tract 1.02, Milwaukee County, Wisconsin",55,079,000102
84,53311,2967,738,450,14,299,439,181,"Census Tract 180, Milwaukee County, Wisconsin",55,079,018000
85,76156,3938,317,141,101,116,201,89,"Census Tract 601.01, Milwaukee County, Wisconsin",55,079,060101
86,69833,4087,234,209,4,74,160,79,"Census Tract 1201.01, Milwaukee County, Wisconsin",55,079,120101
87,80405,3792,124,121,3,88,36,47,"Census Tract 1201.02, Milwaukee County, Wisconsin",55,079,120102
88,74057,4759,202,202,0,58,144,76,"Census Tract 1503.03, Milwaukee County, Wisconsin",55,079,150303
89,66563,4441,295,294,0,106,189,163,"Census Tract 1503.04, Milwaukee County, Wisconsin",55,079,150304
90,69278,6391,411,316,61,304,107,120,"Census Tract 1602.03, Milwaukee County, Wisconsin",55,079,160203
91,59831,5452,382,279,87,133,249,441,"Census Tract 1602.04, Milwaukee County, Wisconsin",55,079,160204
92,64698,3729,293,275,18,178,115,90,"Census Tract 1853, Milwaukee County, Wisconsin",55,079,185300
