,TOTAL POP,WHITE POP,BLACK POP,NOT HISPANIC POP,TOTAL HISPANIC POP,NOT HISPANIC WHITE,MEDIAN INCOME,TOTAL POP IN HOUSING UNITS,RENTER OCCUPIED HOUSING UNITS,NAME,STATE,COUNTY,GEO_TRACT
156,3008,2656,63,2532,476,2422,46984,3008,1077,"Census Tract 1202.02, Milwaukee County, Wisconsin",55,079,120202
157,4534,4167,115,4192,342,3870,58532,4502,1705,"Census Tract 1805, Milwaukee County, Wisconsin",55,079,180500
158,2709,2435,43,2304,405,2169,59575,2704,619,"Census Tract 209, Milwaukee County, Wisconsin",55,079,020900
159,2671,2101,341,2528,143,1975,35110,2671,2269,"Census Tract 110, Milwaukee County, Wisconsin",55,079,011000
160,5298,1109,3449,5002,296,917,43281,5282,2532,"Census Tract 33, Milwaukee County, Wisconsin",55,079,003300
161,3576,322,2952,3495,81,277,50391,3556,918,"Census Tract 35, Milwaukee County, Wisconsin",55,079,003500
162,2084,207,1791,1937,147,154,33714,2079,1242,"Census Tract 36, Milwaukee County, Wisconsin",55,079,003600
163,2313,167,1989,2182,131,162,32750,2313,1232,"Census Tract 38, Milwaukee County, Wisconsin",55,079,003800
164,3429,2708,484,3106,323,2465,83269,3429,624,"Census Tract 55, Milwaukee County, Wisconsin",55,079,005500
165,2095,118,1939,2012,83,35,22714,2095,1155,"Census Tract 66, Milwaukee County, Wisconsin",55,079,006600
166,3067,411,2504,2811,256,193,24266,3052,2554,"Census Tract 70, Milwaukee County, Wisconsin",55,079,007000
167,1998,1452,316,1775,223,1328,48600,1998,1492,"Census Tract 71, Milwaukee County, Wisconsin",55,079,007100
168,3260,2467,198,2978,282,2331,35297,3260,2604,"Census Tract 78, Milwaukee County, Wisconsin",55,079,007800
169,1402,248,1022,1336,66,211,16629,1397,1215,"Census Tract 137, Milwaukee County, Wisconsin",55,079,013700
170,1238,349,712,1003,235,226,25375,1238,942,"Census Tract 81, Milwaukee County, Wisconsin",55,079,008100
171,1189,5,1184,1189,0,5,16442,1189,784,"Census Tract 87, Milwaukee County, Wisconsin",55,079,008700
172,2514,2066,297,2270,244,1903,73556,2514,836,"Census Tract 94, Milwaukee County, Wisconsin",55,079,009400
173,3575,1823,91,796,2779,606,21622,3534,2605,"Census Tract 169, Milwaukee County, Wisconsin",55,079,016900
174,2943,1605,18,644,2299,411,38988,2943,1084,"Census Tract 171, Milwaukee County, Wisconsin",55,079,017100
175,2709,1367,149,918,1791,548,37500,2704,1455,"Census Tract 186, Milwaukee County, Wisconsin",55,079,018600
176,3408,2748,176,2460,948,2171,56429,3389,975,"Census Tract 192, Milwaukee County, Wisconsin",55,079,019200
177,3016,2561,73,2695,321,2258,65809,3011,456,"Census Tract 215, Milwaukee County, Wisconsin",55,079,021500
178,4056,3170,322,1899,2157,1388,41563,3972,1899,"Census Tract 201, Milwaukee County, Wisconsin",55,079,020100
179,3626,2620,85,2296,1330,1699,53804,3626,945,"Census Tract 202, Milwaukee County, Wisconsin",55,079,020200
180,4486,3999,140,3899,587,3722,64028,4461,1403,"Census Tract 207, Milwaukee County, Wisconsin",55,079,020700
181,1923,20,1867,1904,19,19,19441,1878,1222,"Census Tract 64, Milwaukee County, Wisconsin",55,079,006400
182,2840,395,2334,2498,342,108,23534,2835,2244,"Census Tract 69, Milwaukee County, Wisconsin",55,079,006900
183,3612,3212,165,3465,147,3103,54883,3321,2517,"Census Tract 76, Milwaukee County, Wisconsin",55,079,007600
184,1155,12,1132,1148,7,12,23007,1135,953,"Census Tract 85, Milwaukee County, Wisconsin",55,079,008500
185,2439,2178,165,2341,98,2125,52743,2416,926,"Census Tract 126, Milwaukee County, Wisconsin",55,079,012600
186,1230,1116,56,1098,132,1023,61932,1125,476,"Census Tract 127, Milwaukee County, Wisconsin",55,079,012700
187,2969,1994,523,2706,263,1823,8967,2127,2075,"Census Tract 147, Milwaukee County, Wisconsin",55,079,014700
188,3116,929,308,798,2318,446,26050,3102,2502,"Census Tract 157, Milwaukee County, Wisconsin",55,079,015700
189,2564,733,306,707,1857,341,23092,2558,1877,"Census Tract 158, Milwaukee County, Wisconsin",55,079,015800
190,3235,1553,523,1049,2186,323,27147,3229,2511,"Census Tract 167, Milwaukee County, Wisconsin",55,079,016700
191,3499,1065,478,717,2782,238,29732,3490,2368,"Census Tract 168, Milwaukee County, Wisconsin",55,079,016800
192,3461,2446,159,1154,2307,772,28247,3461,2210,"Census Tract 187, Milwaukee County, Wisconsin",55,079,018700
193,3213,2689,109,2596,617,2111,63125,3193,403,"Census Tract 193, Milwaukee County, Wisconsin",55,079,019300
194,5174,4793,23,4389,785,4209,70194,5159,1596,"Census Tract 197, Milwaukee County, Wisconsin",55,079,019700
195,4028,3339,25,2213,1815,1863,52226,4023,820,"Census Tract 203, Milwaukee County, Wisconsin",55,079,020300
196,5608,3767,1251,5390,218,3619,68231,5563,400,"Census Tract 501.01, Milwaukee County, Wisconsin",55,079,050101
197,2700,2337,155,2617,83,2283,71393,2700,1397,"Census Tract 801, Milwaukee County, Wisconsin",55,079,080100
198,2531,2129,180,2200,331,1935,49444,2521,972,"Census Tract 1804, Milwaukee County, Wisconsin",55,079,180400
199,4096,3458,121,3356,740,3029,53006,4096,2076,"Census Tract 194, Milwaukee County, Wisconsin",55,079,019400
200,3448,2012,408,2203,1245,1335,26188,3419,1770,"Census Tract 200, Milwaukee County, Wisconsin",55,079,020000
201,6581,5742,123,5503,1078,4834,61840,6452,1874,"Census Tract 217, Milwaukee County, Wisconsin",55,079,021700
202,2634,2378,118,2337,297,2155,66905,2634,718,"Census Tract 1701, Milwaukee County, Wisconsin",55,079,170100
203,1848,467,1194,1707,141,403,15503,1720,1597,"Census Tract 135, Milwaukee County, Wisconsin",55,079,013500
204,3561,2116,120,904,2657,716,40213,3550,1582,"Census Tract 161, Milwaukee County, Wisconsin",55,079,016100
205,5492,2591,393,2051,3441,1437,31354,5406,3134,"Census Tract 170, Milwaukee County, Wisconsin",55,079,017000
206,4404,2576,63,986,3418,825,44835,4399,1815,"Census Tract 173, Milwaukee County, Wisconsin",55,079,017300
207,2745,1281,254,717,2028,341,28259,2740,1966,"Census Tract 176, Milwaukee County, Wisconsin",55,079,017600
208,3014,2386,132,2549,465,2191,58378,3009,1796,"Census Tract 179, Milwaukee County, Wisconsin",55,079,017900
209,1745,1666,9,1653,92,1574,65673,1745,583,"Census Tract 181, Milwaukee County, Wisconsin",55,079,018100
210,3923,2843,379,2514,1409,2031,45284,3597,1849,"Census Tract 191, Milwaukee County, Wisconsin",55,079,019100
211,3356,636,2339,3147,209,626,37401,3351,2115,"Census Tract 9, Milwaukee County, Wisconsin",55,079,000900
212,2675,921,1584,2497,178,791,29059,2674,2101,"Census Tract 4, Milwaukee County, Wisconsin",55,079,000400
213,3861,1540,1848,3552,309,1483,53836,3843,1769,"Census Tract 5.01, Milwaukee County, Wisconsin",55,079,000501
214,2746,125,2424,2625,121,125,34333,2734,1815,"Census Tract 41, Milwaukee County, Wisconsin",55,079,004100
215,2118,19,1912,1961,157,19,23333,2113,1580,"Census Tract 45, Milwaukee County, Wisconsin",55,079,004500
216,3677,2704,656,3539,138,2641,51304,3571,1157,"Census Tract 54, Milwaukee County, Wisconsin",55,079,005400
217,6675,5461,435,5826,849,4882,54671,6595,3104,"Census Tract 1204, Milwaukee County, Wisconsin",55,079,120400
218,2260,1905,95,2129,131,1840,70724,2120,417,"Census Tract 56, Milwaukee County, Wisconsin",55,079,005600
219,2579,2017,485,2416,163,1881,68783,2569,661,"Census Tract 57, Milwaukee County, Wisconsin",55,079,005700
220,4073,3269,372,3840,233,3137,95481,1413,570,"Census Tract 74, Milwaukee County, Wisconsin",55,079,007400
221,5787,5388,20,5675,112,5292,80662,5722,700,"Census Tract 1503.01, Milwaukee County, Wisconsin",55,079,150301
222,7222,6350,84,6308,914,5700,71133,7191,2852,"Census Tract 1602.02, Milwaukee County, Wisconsin",55,079,160202
223,3981,3593,163,3505,476,3200,41322,3966,1666,"Census Tract 1702, Milwaukee County, Wisconsin",55,079,170200
224,4854,4381,113,4366,488,4064,46491,4817,1693,"Census Tract 1852, Milwaukee County, Wisconsin",55,079,185200
225,3495,1332,1543,3298,197,1250,69514,3468,513,"Census Tract 3.04, Milwaukee County, Wisconsin",55,079,000304
226,4996,1128,3142,4788,208,1020,37438,4965,2403,"Census Tract 8, Milwaukee County, Wisconsin",55,079,000800
227,4261,441,2790,4037,224,408,40130,4241,2705,"Census Tract 13, Milwaukee County, Wisconsin",55,079,001300
228,3089,338,2451,2913,176,307,37014,3079,1835,"Census Tract 16, Milwaukee County, Wisconsin",55,079,001600
229,1961,152,1789,1961,0,152,26157,1961,1585,"Census Tract 27, Milwaukee County, Wisconsin",55,079,002700
230,4121,618,2848,3765,356,372,47586,4116,2383,"Census Tract 31, Milwaukee County, Wisconsin",55,079,003100
231,2711,386,1847,2607,104,345,47159,2682,1003,"Census Tract 32, Milwaukee County, Wisconsin",55,079,003200
232,6160,1841,3380,6006,154,1840,40183,6124,3339,"Census Tract 34, Milwaukee County, Wisconsin",55,079,003400
233,1703,1456,84,1680,23,1433,45694,1667,1202,"Census Tract 111, Milwaukee County, Wisconsin",55,079,011100
234,2341,94,1913,2333,8,94,26971,2330,1783,"Census Tract 90, Milwaukee County, Wisconsin",55,079,009000
235,1683,117,571,1566,117,59,31367,1683,897,"Census Tract 97, Milwaukee County, Wisconsin",55,079,009700
236,2408,1971,175,2315,93,1935,52500,2408,1815,"Census Tract 143, Milwaukee County, Wisconsin",55,079,014300
237,5157,4181,644,4663,494,3708,50684,5110,2997,"Census Tract 1010, Milwaukee County, Wisconsin",55,079,101000
238,1635,1585,7,1540,95,1495,80278,1635,446,"Census Tract 182, Milwaukee County, Wisconsin",55,079,018200
239,2312,2151,42,2072,240,1928,71159,2312,1118,"Census Tract 183, Milwaukee County, Wisconsin",55,079,018300
240,3227,2885,24,2979,248,2804,68503,3219,1175,"Census Tract 208, Milwaukee County, Wisconsin",55,079,020800
241,3163,3020,0,3099,64,3020,138403,3163,249,"Census Tract 907, Milwaukee County, Wisconsin",55,079,090700
242,3981,3501,239,3828,153,3382,84706,3794,1427,"Census Tract 909, Milwaukee County, Wisconsin",55,079,090900
243,3772,3562,4,3660,112,3487,103235,3758,813,"Census Tract 913, Milwaukee County, Wisconsin",55,079,091300
244,3625,2822,191,3111,514,2627,38701,3492,1705,"Census Tract 1005, Milwaukee County, Wisconsin",55,079,100500
245,2882,2693,39,2744,138,2568,62238,2858,689,"Census Tract 1008, Milwaukee County, Wisconsin",55,079,100800
246,3480,2676,344,2974,506,2488,52619,3461,1754,"Census Tract 1202.03, Milwaukee County, Wisconsin",55,079,120203
247,5288,4467,167,4848,440,4138,50513,5126,2548,"Census Tract 1205.02, Milwaukee County, Wisconsin",55,079,120502
248,5235,4726,43,4915,320,4593,60669,5194,1611,"Census Tract 1402.01, Milwaukee County, Wisconsin",55,079,140201
249,2723,1998,486,2701,22,1988,45625,2723,1939,"Census Tract 73, Milwaukee County, Wisconsin",55,079,007300
250,4139,32,4028,4139,0,32,34741,4138,2656,"Census Tract 47, Milwaukee County, Wisconsin",55,079,004700
251,3697,1007,2387,3255,442,770,37341,3685,2072,"Census Tract 59, Milwaukee County, Wisconsin",55,079,005900
252,2411,164,2029,2214,197,140,27941,2393,1812,"Census Tract 60, Milwaukee County, Wisconsin",55,079,006000
253,999,21,960,999,0,21,22227,989,656,"Census Tract 86, Milwaukee County, Wisconsin",55,079,008600
254,1236,123,1010,1184,52,74,23125,1139,853,"Census Tract 89, Milwaukee County, Wisconsin",55,079,008900
255,2600,1324,975,2462,138,1240,60944,2600,1469,"Census Tract 93, Milwaukee County, Wisconsin",55,079,009300
256,2113,1570,427,1953,160,1466,67875,2098,509,"Census Tract 95, Milwaukee County, Wisconsin",55,079,009500
257,1361,527,577,1085,276,404,39688,1356,864,"Census Tract 106, Milwaukee County, Wisconsin",55,079,010600
258,2424,1751,351,1938,486,1554,56217,2420,1295,"Census Tract 107, Milwaukee County, Wisconsin",55,079,010700
259,3582,2147,1200,3522,60,2102,62727,3575,1540,"Census Tract 58, Milwaukee County, Wisconsin",55,079,005800
260,2287,239,1816,2144,143,209,34293,2282,1472,"Census Tract 61, Milwaukee County, Wisconsin",55,079,006100
261,2685,75,2574,2675,10,65,30313,2680,1832,"Census Tract 62, Milwaukee County, Wisconsin",55,079,006200
262,1347,66,1166,1330,17,64,25139,1347,956,"Census Tract 67, Milwaukee County, Wisconsin",55,079,006700
263,4522,842,3336,4171,351,692,38274,4505,2591,"Census Tract 49, Milwaukee County, Wisconsin",55,079,004900
264,3604,3137,101,3152,452,2710,46598,3581,1653,"Census Tract 1706, Milwaukee County, Wisconsin",55,079,170600
265,2367,124,1740,2281,86,124,30417,2367,1775,"Census Tract 91, Milwaukee County, Wisconsin",55,079,009100
266,3124,670,2216,3022,102,642,30362,3113,2285,"Census Tract 44, Milwaukee County, Wisconsin",55,079,004400
267,2412,47,2244,2359,53,40,23825,2407,2009,"Census Tract 63, Milwaukee County, Wisconsin",55,079,006300
268,1740,459,1036,1609,131,445,35057,1649,982,"Census Tract 92, Milwaukee County, Wisconsin",55,079,009200
269,2297,1873,230,2125,172,1720,55057,2297,1725,"Census Tract 112, Milwaukee County, Wisconsin",55,079,011200
270,1132,249,849,1001,131,136,25938,1114,841,"Census Tract 123, Milwaukee County, Wisconsin",55,079,012300
271,1922,1539,125,1388,534,1109,44764,1922,1008,"Census Tract 130, Milwaukee County, Wisconsin",55,079,013000
272,1782,1605,85,1654,128,1483,51425,1777,727,"Census Tract 1011, Milwaukee County, Wisconsin",55,079,101100
273,2784,2461,123,2238,546,2025,56512,2784,1574,"Census Tract 1707, Milwaukee County, Wisconsin",55,079,170700
274,2243,1114,826,2168,75,1108,54643,2243,935,"Census Tract 53, Milwaukee County, Wisconsin",55,079,005300
275,8718,7479,157,7897,821,6852,70703,8619,1842,"Census Tract 1501, Milwaukee County, Wisconsin",55,079,150100
276,2183,1839,70,1693,490,1543,60240,2173,412,"Census Tract 1203, Milwaukee County, Wisconsin",55,079,120300
277,6439,2848,2978,6083,356,2653,60604,6423,3176,"Census Tract 2.02, Milwaukee County, Wisconsin",55,079,000202
278,2346,1829,179,1877,469,1452,47045,2261,1216,"Census Tract 218, Milwaukee County, Wisconsin",55,079,021800
279,4419,3964,131,4308,111,3859,102695,4201,610,"Census Tract 352, Milwaukee County, Wisconsin",55,079,035200
280,2377,2056,75,2284,93,2004,87381,2377,631,"Census Tract 914, Milwaukee County, Wisconsin",55,079,091400
281,4159,2992,300,3407,752,2580,43906,4159,2682,"Census Tract 1002, Milwaukee County, Wisconsin",55,079,100200
282,2605,2011,28,2186,419,1906,42027,2590,1412,"Census Tract 1003, Milwaukee County, Wisconsin",55,079,100300
283,3926,3357,243,3473,453,3079,45597,3866,1876,"Census Tract 1014, Milwaukee County, Wisconsin",55,079,101400
284,2839,2656,0,2530,309,2377,59922,2839,823,"Census Tract 1801, Milwaukee County, Wisconsin",55,079,180100
285,1641,299,1308,1554,87,220,17273,1641,1635,"Census Tract 141, Milwaukee County, Wisconsin",55,079,014100
286,2087,990,595,1750,337,862,19699,1662,1598,"Census Tract 148, Milwaukee County, Wisconsin",55,079,014800
